#################################
SPE_OSOAA_GoyensRuddick2022
LUT for the Sunglint Pointing Enhancement (Goyens and Ruddick, 2022, Appl Opt)
version: 1.0
date: 20220922
author: Clémence Goyens (RBINS)
rho_u = pi*L(surface reflected)/Ed (dimensionless) at theta_v as in Goyens and Ruddick, 2022, Appl Opt, Eq. 4
vza1 and vza2 are viewing zenith angle from 20 to 80° as in Goyens and Ruddick, 2022, Appl Opt, Fig. 6
w stands for wind speed in m/s ranging from 1 to 14 m/s
D is the D factor as in Goyens and Ruddick, 2022, Appl Opt, Eq. 7
SZA is the solar zenith angle ranging from 20 to 70°
rh is relative humidity (%)
aot is aot at 900 nm
amod is aerosol model accordinf to Shettle and Fenn (1979)
Shettle & Fenn model
1 : Tropospheric
2 : Urban
3 : Maritime
4 : Coastal
#########################################
"vza1","rho_u1","ws","rho_u2","vza2","D","sza","rh","aot","amod"
20,0.0237840435483871,"1",0.00116666333333333,30,0.0226173802150538,1,70,0.05,2
20,0.0535547392473118,"2",0.00431534333333333,30,0.0492393959139785,1,70,0.05,2
20,0.0692295069892473,"3",0.0107185766666667,30,0.0585109303225807,1,70,0.05,2
20,0.0753502360215054,"4",0.0177261,30,0.0576241360215054,1,70,0.05,2
20,0.0765401317204301,"5",0.0237958666666667,30,0.0527442650537635,1,70,0.05,2
20,0.075321311827957,"6",0.0285277333333333,30,0.0467935784946237,1,70,0.05,2
20,0.0729740387096774,"7",0.0320070666666667,30,0.0409669720430108,1,70,0.05,2
20,0.070148952688172,"8",0.034457,30,0.0356919526881721,1,70,0.05,2
20,0.0671790897849462,"9",0.0361057666666667,30,0.0310733231182796,1,70,0.05,2
20,0.0642349059139785,"10",0.0371465666666667,30,0.0270883392473118,1,70,0.05,2
20,0.0614012021505376,"11",0.0377318333333333,30,0.0236693688172043,1,70,0.05,2
20,0.05871705,"12",0.0379781666666667,30,0.0207388833333333,1,70,0.05,2
20,0.0561970462365591,"13",0.0379737333333333,30,0.0182233129032258,1,70,0.05,2
20,0.0538423268817204,"14",0.0377846333333333,30,0.0160576935483871,1,70,0.05,2
20,0.0242163510752688,"1",0.00190577,30,0.0223105810752688,1,70,0.1,2
20,0.0531826715053764,"2",0.00498493,30,0.0481977415053764,1,70,0.1,2
20,0.0684208311827957,"3",0.0112285033333333,30,0.0571923278494624,1,70,0.1,2
20,0.0743574053763441,"4",0.0180564666666667,30,0.0563009387096774,1,70,0.1,2
20,0.0754945403225807,"5",0.0239687333333333,30,0.0515258069892473,1,70,0.1,2
20,0.0742873623655914,"6",0.0285765666666667,30,0.0457107956989247,1,70,0.1,2
20,0.0719827198924731,"7",0.0319636,30,0.0400191198924731,1,70,0.1,2
20,0.069213952688172,"8",0.0343475666666667,30,0.0348663860215054,1,70,0.1,2
20,0.0663053774193548,"9",0.0359507,30,0.0303546774193548,1,70,0.1,2
20,0.063422711827957,"10",0.0369613666666667,30,0.0264613451612903,1,70,0.1,2
20,0.060648697311828,"11",0.0375281666666667,30,0.0231205306451613,1,70,0.1,2
20,0.0580211349462366,"12",0.0377646,30,0.0202565349462366,1,70,0.1,2
20,0.0555542483870968,"13",0.0377566333333333,30,0.0177976150537634,1,70,0.1,2
20,0.0532490870967742,"14",0.0375686333333333,30,0.0156804537634409,1,70,0.1,2
20,0.0246313833333333,"1",0.00261965,30,0.0220117333333333,1,70,0.15,2
20,0.052824276344086,"2",0.00563171333333333,30,0.0471925630107527,1,70,0.15,2
20,0.067642552688172,"3",0.0117214733333333,30,0.0559210793548387,1,70,0.15,2
20,0.0734023698924731,"4",0.0183766666666667,30,0.0550257032258065,1,70,0.15,2
20,0.0744886634408602,"5",0.0241373333333333,30,0.0503513301075269,1,70,0.15,2
20,0.0732929655913978,"6",0.0286257333333333,30,0.0446672322580645,1,70,0.15,2
20,0.0710295053763441,"7",0.0319238666666667,30,0.0391056387096774,1,70,0.15,2
20,0.0683151193548387,"8",0.0342441666666667,30,0.0340709526881721,1,70,0.15,2
20,0.0654655021505376,"9",0.0358032666666667,30,0.029662235483871,1,70,0.15,2
20,0.0626422306451613,"10",0.0367847666666667,30,0.0258574639784946,1,70,0.15,2
20,0.0599256865591398,"11",0.0373335,30,0.0225921865591398,1,70,0.15,2
20,0.0573526032258065,"12",0.0375602666666667,30,0.0197923365591398,1,70,0.15,2
20,0.0549369204301075,"13",0.0375486666666667,30,0.0173882537634409,1,70,0.15,2
20,0.052679511827957,"14",0.0373616333333333,30,0.0153178784946237,1,70,0.15,2
20,0.0250291215053763,"1",0.00330907333333333,30,0.021720048172043,1,70,0.2,2
20,0.0524779188172043,"2",0.00625632,30,0.0462215988172043,1,70,0.2,2
20,0.066892347311828,"3",0.0121979433333333,30,0.0546944039784946,1,70,0.2,2
20,0.0724822161290323,"4",0.0186866666666667,30,0.0537955494623656,1,70,0.2,2
20,0.0735199903225807,"5",0.0243013,30,0.0492186903225807,1,70,0.2,2
20,0.0723355053763441,"6",0.0286746333333333,30,0.0436608720430108,1,70,0.2,2
20,0.0701118790322581,"7",0.0318871666666667,30,0.0382247123655914,1,70,0.2,2
20,0.0674499392473118,"8",0.0341459666666667,30,0.0333039725806452,1,70,0.2,2
20,0.0646572559139785,"9",0.0356625333333333,30,0.0289947225806452,1,70,0.2,2
20,0.0618912569892473,"10",0.0366158666666667,30,0.0252753903225807,1,70,0.2,2
20,0.0592300698924731,"11",0.0371471,30,0.0220829698924731,1,70,0.2,2
20,0.0567096494623656,"12",0.0373642666666667,30,0.0193453827956989,1,70,0.2,2
20,0.0543432623655914,"13",0.0373490333333333,30,0.0169942290322581,1,70,0.2,2
20,0.0521316930107527,"14",0.0371625666666667,30,0.014969126344086,1,70,0.2,2
20,0.0271747704301075,"1",0.00703347,30,0.0201413004301075,1,70,0.5,2
20,0.0506682510752688,"2",0.00963121333333333,30,0.0410370377419355,1,70,0.5,2
20,0.0629372586021505,"3",0.014781,30,0.0481562586021505,1,70,0.5,2
20,0.0676246784946237,"4",0.0203809,30,0.0472437784946237,1,70,0.5,2
20,0.0684048225806452,"5",0.0252155666666667,30,0.0431892559139785,1,70,0.5,2
20,0.0672804505376344,"6",0.0289735,30,0.0383069505376344,1,70,0.5,2
20,0.0652671994623656,"7",0.0317263666666667,30,0.0335408327956989,1,70,0.5,2
20,0.0628839080645161,"8",0.0336545333333333,30,0.0292293747311828,1,70,0.5,2
20,0.0603946333333333,"9",0.0349409666666667,30,0.0254536666666667,1,70,0.5,2
20,0.057931288172043,"10",0.0357396333333333,30,0.0221916548387097,1,70,0.5,2
20,0.0555636311827957,"11",0.0361735666666667,30,0.019390064516129,1,70,0.5,2
20,0.0533222623655914,"12",0.0363360333333333,30,0.0169862290322581,1,70,0.5,2
20,0.0512165559139785,"13",0.0362971,30,0.0149194559139785,1,70,0.5,2
20,0.0492475822580645,"14",0.0361099,30,0.0131376822580645,1,70,0.5,2
20,0.0239434177419355,"1",0.00131823666666667,30,0.0226251810752688,1,80,0.05,2
20,0.0535725870967742,"2",0.00445594,30,0.0491166470967742,1,80,0.05,2
20,0.0691688639784946,"3",0.0108322466666667,30,0.058336617311828,1,80,0.05,2
20,0.0752537123655914,"4",0.0178091333333333,30,0.0574445790322581,1,80,0.05,2
20,0.0764303629032258,"5",0.0238516333333333,30,0.0525787295698925,1,80,0.05,2
20,0.0752094198924731,"6",0.0285616666666667,30,0.0466477532258065,1,80,0.05,2
20,0.0728655537634409,"7",0.0320243333333333,30,0.0408412204301075,1,80,0.05,2
20,0.0700463290322581,"8",0.0344619666666667,30,0.0355843623655914,1,80,0.05,2
20,0.0670833844086021,"9",0.0361017,30,0.0309816844086022,1,80,0.05,2
20,0.064146297311828,"10",0.0371360666666667,30,0.0270102306451613,1,80,0.05,2
20,0.0613195688172043,"11",0.0377168,30,0.0236027688172043,1,80,0.05,2
20,0.0586420731182796,"12",0.0379600666666667,30,0.0206820064516129,1,80,0.05,2
20,0.0561281177419355,"13",0.0379536,30,0.0181745177419355,1,80,0.05,2
20,0.0537791360215054,"14",0.0377633333333333,30,0.016015802688172,1,80,0.05,2
20,0.0245221505376344,"1",0.00219999666666667,30,0.0223221538709678,1,80,0.1,2
20,0.0532118505376344,"2",0.00525756,30,0.0479542905376344,1,80,0.1,2
20,0.0682962177419355,"3",0.0114483933333333,30,0.0568478244086022,1,80,0.1,2
20,0.074163414516129,"4",0.0182163,30,0.055947114516129,1,80,0.1,2
20,0.0752747483870968,"5",0.0240752666666667,30,0.0511994817204301,1,80,0.1,2
20,0.0740637107526882,"6",0.0286404333333333,30,0.0454232774193549,1,80,0.1,2
20,0.0717658795698925,"7",0.031995,30,0.0397708795698925,1,80,0.1,2
20,0.0690087241935484,"8",0.0343548666666667,30,0.0346538575268817,1,80,0.1,2
20,0.066113788172043,"9",0.0359405,30,0.030173288172043,1,80,0.1,2
20,0.0632454080645161,"10",0.0369387666666667,30,0.0263066413978495,1,80,0.1,2
20,0.0604852360215054,"11",0.0374967333333333,30,0.022988502688172,1,80,0.1,2
20,0.0578708892473118,"12",0.0377273333333333,30,0.0201435559139785,1,80,0.1,2
20,0.0554162940860215,"13",0.0377156666666667,30,0.0177006274193548,1,80,0.1,2
